phase,run_id,status,scope,environment_id,seed,config_sha256,code_sha256,input_sha256,actual_tokens,actual_positions,actual_draws,elapsed_seconds,peak_memory_bytes,evidence_paths,selected_checkpoint,failure_or_skip_reason,resume_checkpoint_and_cursor,next_action,actual_command
P1,v1.2_corpus_16m,passed,CPU,,20260909,84f36f4c58773c285ab71c0b14a9d7661abc4639f1bdf7dfc1fc8a498225ea75,,87ec2e772f6f239c55b53a485ec861fe257ce15145727fb0b1f4bd9d3bc1af1c,16001083,,,289.9839781670016,,experiment_v1_2/results/p1_generation.json;data/language_v1_2/postwrite_audit.json;experiment_v1_2/results/p1_release_validation.json,,,,P2 GPU smoke,.venv-p2/bin/python -u scripts/generate_p3_16m_corpus.py
P2,v1.2_cpu_release,passed,CPU debug only,d7c07004dd4c1bd4,20260910,84f36f4c58773c285ab71c0b14a9d7661abc4639f1bdf7dfc1fc8a498225ea75,88bbe34725bd0f9d311f6a197a10885e16e1476bb6b372ec813af315d4d21e88,87ec2e772f6f239c55b53a485ec861fe257ce15145727fb0b1f4bd9d3bc1af1c,21755,993,206848,9.824724912643433,288686080,experiment_v1_2/smoke/cpu_release/smoke.json;experiment_v1_2/results/p2_pytest_release.txt,,,,Run fresh Colab GPU smoke,python -m interp_v1_2.smoke --device cpu --output experiment_v1_2/smoke/cpu_release
P2,v1.2_gpu_smoke,passed,Colab CUDA debug,e74fb1dcf8112ca0,20260910,8503418e4705120a5eaa5f4cc948c628d61dfafc416ec791699f778b1b9479d9,b92c22bb391cc99488032d6f495594307d5e81fe47f3ad942b0965eb9e03ab5d,5decfd2af5c77535c6410b8a716cb914f47d0a4f4c398915d7eacff19a449eee,21755,993,206848,9.754063367843628,251969536,experiment_v1_2/evidence/p3_16m_20260917/preflight/20260917T073251285323/cuda/smoke.json;experiment_v1_2/results/p3_supplemental_audit.json,,,,P3 evidence audited,python -m interp_v1_2.smoke --device cuda --output experiment_v1_2/preflight/20260917T073251285323/cuda
P3,v1.2_lm_seed_0_16m,failed,Colab CUDA production,e74fb1dcf8112ca0,0,8503418e4705120a5eaa5f4cc948c628d61dfafc416ec791699f778b1b9479d9,b92c22bb391cc99488032d6f495594307d5e81fe47f3ad942b0965eb9e03ab5d,5decfd2af5c77535c6410b8a716cb914f47d0a4f4c398915d7eacff19a449eee,16001083,,,1158.420657954,244694016,experiment_v1_2/results/p3_stop_report.md;experiment_v1_2/results/p3_run_audit.json;experiment_v1_2/results/p3_supplemental_audit.json;experiment_v1_2/evidence/p3_16m_verified_contents_20260917.zip,checkpoints/update_002160.pt;sha256=3254c12495f996da79f47978fefb01456701b316a0e765704de3739944fa1317,General 80.72% <99%; diagnostics 81.25% /76.37% /86.13% <95%; executed bundle v1; peak measured first 50 updates,Fresh initialization; no resume; final cursor 138240; update 2160,Stop v1.2; no P4 or SAE/TC,/content/boolean_interp/interp_v1_2/cli.py --device cuda --output /content/boolean_interp/experiment_v1_2/runs/lm_seed_0 --persistent-dir /content/drive/MyDrive/boolean_interp_p3_16m_v1_2/lm_seed_0 --smoke-report /content/boolean_interp/experiment_v1_2/preflight/20260917T073251285323/cuda/smoke.json
