boundary,update,general_accuracy,first_macro_ce,first_macro_accuracy
1000000,136,0.5894104669689914,0.6887624924226353,0.5584077380952381
3000000,407,0.6504473587449442,0.7200349058146545,0.5301339285714286
8000000,1082,0.9346733668341709,0.4101507700351617,0.7991071428571429
16000000,2160,0.9844343669567349,0.08192042053906605,0.9665178571428571
24000000,3205,0.9950974384115701,0.03622048172054465,0.9888392857142857
32000000,4249,0.9968133349675206,0.017032253636251597,0.9947916666666666
48000000,6325,0.9981615394043387,0.014932117394359068,0.9955357142857143
57600000,7568,0.9986517955631817,0.008455998308993648,0.9970238095238095
60800000,7983,0.9998774359602892,0.0032469069110952035,0.9985119047619048
64000000,8399,0.999509743841157,0.004460475431776227,0.9985119047619048
