seed,budget_m,update,first_accuracy,first_ce,general_accuracy
0,1.0,136,0.5584077380952381,0.6887624924226353,0.5894104669689914
0,3.0,407,0.5301339285714286,0.7200349058146545,0.6504473587449442
0,8.0,1082,0.7991071428571429,0.4101507700351617,0.9346733668341709
0,16.0,2160,0.9665178571428571,0.08192042053906605,0.9844343669567349
0,24.0,3205,0.9888392857142857,0.03622048172054465,0.9950974384115701
0,32.0,4249,0.9947916666666666,0.017032253636251597,0.9968133349675206
0,48.0,6325,0.9955357142857143,0.014932117394359068,0.9981615394043387
0,57.6,7568,0.9970238095238095,0.008455998308993648,0.9986517955631817
0,60.8,7983,0.9985119047619048,0.0032469069110952035,0.9998774359602892
0,64.0,8399,0.9985119047619048,0.004460475431776227,0.999509743841157
1,1.0,136,0.5658482142857143,0.6882059697970926,0.5781345753156024
1,3.0,407,0.5539434523809523,0.7042808882903219,0.6886873391346979
1,8.0,1082,0.8776041666666666,0.2689748828424854,0.9609020713322711
1,16.0,2160,0.9828869047619048,0.05188105377229,0.9905625689422723
1,24.0,3205,0.9895833333333334,0.032136097526997025,0.9966907709278098
1,32.0,4249,0.9921875,0.020253083492586182,0.9979164113249173
1,48.0,6325,0.9955357142857143,0.013481696047147721,0.9976712832454958
1,57.6,7568,0.9944196428571429,0.010797563847612239,0.9993871798014462
1,60.8,7983,0.9985119047619048,0.003783664569093657,0.9996323078808678
1,64.0,8399,0.9966517857142857,0.004900148220357892,0.9996323078808678
2,1.0,136,0.5438988095238095,0.699662222305224,0.6150263512685378
2,3.0,407,0.5375744047619048,0.7394039481663467,0.6900355435715161
2,8.0,1082,0.7496279761904762,0.46851182656581886,0.9252359357764431
2,16.0,2160,0.9773065476190477,0.05268968083623263,0.9909302610614046
2,24.0,3205,0.9910714285714286,0.023358247677186854,0.9969358990072312
2,32.0,4249,0.9947916666666666,0.012486095324580523,0.998038975364628
2,48.0,6325,0.9966517857142857,0.01117832089623065,0.9982841034440495
2,57.6,7568,0.9973958333333334,0.007118591698010218,0.9981615394043387
2,60.8,7983,0.9985119047619048,0.005332075554397943,0.999509743841157
2,64.0,8399,0.9996279761904762,0.0015634727884867331,0.999509743841157
