task,size,subset,positions,balanced_accuracy,macro_f1,auroc,ci95
seed0_trained_l2_u_shuffled_current_transfer,full,all,4979,0.5,0.34615889691398555,0.5368927363787267,"[0.5, 0.5]"
seed0_trained_l2_u_shuffled_current_transfer,full,current_ne_previous,2530,0.5,0.33648046157880934,0.4811466459487181,"[0.5, 0.5]"
seed0_trained_l2_u_shuffled_previous_iid,full,all,18617,0.574993207477975,0.5542973958399724,0.6348545003099791,"[0.5681980800260463, 0.5813536899728691]"
seed0_trained_l2_u_shuffled_previous_iid,full,current_ne_previous,9976,0.5457332896018829,0.5213662123095213,0.6001633498290936,"[0.5368467235202474, 0.5548200132985094]"
seed0_trained_l2_u_shuffled_previous_transfer,full,all,4644,0.5129688179193865,0.5115095090759733,0.5199167041287557,"[0.4977765092703807, 0.528424210318632]"
seed0_trained_l2_u_shuffled_previous_transfer,full,current_ne_previous,2530,0.6568587681362784,0.6568550242009681,0.692288460348484,"[0.6367426452956297, 0.6749177682181317]"
seed0_trained_l2_u_shuffled_query_iid,full,all,20000,0.1721437388139328,0.16194371505867367,,"[0.1665831466911424, 0.17784882722238568]"
seed0_trained_l2_u_shuffled_state_iid,full,all,20000,0.0625,0.011161832339146669,,"[0.0625, 0.0625]"
seed0_trained_l3_h_full_A_iid,full,all,20000,0.6524025400460046,0.6521570137433064,0.7265160168952667,"[0.6450859167936043, 0.6602107164908739]"
seed0_trained_l3_h_full_B_iid,full,all,20000,0.6509083928658055,0.6466015174452133,0.712069642705904,"[0.6428972967043513, 0.6593156851967752]"
seed0_trained_l3_h_full_C_iid,full,all,20000,0.6549976118552145,0.6537476308350884,0.732134178405541,"[0.6471673833863698, 0.6629985435129645]"
seed0_trained_l3_h_full_D_iid,full,all,20000,0.657121099678028,0.6568801342214481,0.7311651430833692,"[0.6495069417798854, 0.6648380609873036]"
seed0_trained_l3_h_full_current_iid,full,all,20000,0.9299347650915575,0.9294430146820611,0.9887619587190399,"[0.9264345615862131, 0.9334881529708553]"
seed0_trained_l3_h_full_current_iid,full,current_ne_previous,9976,0.9079312290788419,0.9075742037004517,0.9845848647379811,"[0.9019430134663039, 0.9134386759489255]"
seed0_trained_l3_h_full_current_transfer,full,all,4979,0.9260922018060448,0.9287478628243134,0.9902695013137639,"[0.9185056230347498, 0.9327414199076631]"
seed0_trained_l3_h_full_current_transfer,full,current_ne_previous,2530,0.9248778518170812,0.9253220490559592,0.9834364751318988,"[0.9145674423151948, 0.9340047998706338]"
seed0_trained_l3_h_full_previous_iid,full,all,18617,0.8503204003483036,0.8500225635570968,0.929460423758689,"[0.8449794486505793, 0.8557510345188141]"
seed0_trained_l3_h_full_previous_iid,full,current_ne_previous,9976,0.8463916730173736,0.8464106689048985,0.92969019804559,"[0.8390938406773364, 0.8541848596256654]"
seed0_trained_l3_h_full_previous_transfer,full,all,4644,0.5693869096934548,0.4628932340979447,0.9014166242509131,"[0.5628296611942546, 0.575909714440177]"
seed0_trained_l3_h_full_previous_transfer,full,current_ne_previous,2530,0.5946271050521251,0.5178173431779532,0.9357216477769562,"[0.5840778950804041, 0.6056346581513371]"
seed0_trained_l3_h_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_trained_l3_h_full_state_iid,full,all,20000,0.13440295762906726,0.07603865944841523,,"[0.1317236247342881, 0.1370144571754695]"
seed0_trained_l3_h_shuffled_A_iid,full,all,20000,0.5,0.3260774337028675,0.4204591808587982,"[0.5, 0.5]"
seed0_trained_l3_h_shuffled_B_iid,full,all,20000,0.4997393544796688,0.3294759896701644,0.4803219036216759,"[0.4990795123735086, 0.5003851814837925]"
seed0_trained_l3_h_shuffled_C_iid,full,all,20000,0.5,0.3347303994943951,0.4171537468322118,"[0.5, 0.5]"
seed0_trained_l3_h_shuffled_D_iid,full,all,20000,0.5432079539395431,0.4980654844471041,0.6010689215763556,"[0.5376611854565796, 0.5486471834163136]"
seed0_trained_l3_h_shuffled_current_iid,full,all,20000,0.5144065093351029,0.47111990946814664,0.5750077444235346,"[0.5087210040848481, 0.5201817437070636]"
seed0_trained_l3_h_shuffled_current_iid,full,current_ne_previous,9976,0.49162615076417493,0.445986916894347,0.5539783963419928,"[0.48390400276469153, 0.4991100999707127]"
seed0_trained_l3_h_shuffled_current_transfer,full,all,4979,0.5659808508474862,0.5312253551307728,0.6080030789417611,"[0.5539160749790345, 0.5791848629439849]"
seed0_trained_l3_h_shuffled_current_transfer,full,current_ne_previous,2530,0.562809198819177,0.5249804674487762,0.6251505561906643,"[0.5469088378420071, 0.5784724589263011]"
seed0_trained_l3_h_shuffled_previous_iid,full,all,18617,0.5276671517560849,0.49413445188235183,0.5370930361320603,"[0.5208073238528047, 0.5342804530819479]"
seed0_trained_l3_h_shuffled_previous_iid,full,current_ne_previous,9976,0.6216821977626218,0.5991976416714224,0.7376728758895009,"[0.612339642842742, 0.6308797443246548]"
seed0_trained_l3_h_shuffled_previous_transfer,full,all,4644,0.5007772299850275,0.32733417572526485,0.5015969995653159,"[0.4994452611273839, 0.5023432949151151]"
seed0_trained_l3_h_shuffled_previous_transfer,full,current_ne_previous,2530,0.5004347143979534,0.3395008804196513,0.4875839192550039,"[0.498408623325689, 0.5024714251842646]"
seed0_trained_l3_h_shuffled_query_iid,full,all,20000,0.29863841431084137,0.2716274559965799,,"[0.2925130555587706, 0.30471961050342644]"
seed0_trained_l3_h_shuffled_state_iid,full,all,20000,0.06336473251046702,0.012955523811634147,,"[0.0629924854913329, 0.06376010610950844]"
seed0_trained_l3_u_full_current_iid,full,all,20000,0.919134286742796,0.9195658361286314,0.9846261483124563,"[0.9151404305712724, 0.9225508075874508]"
seed0_trained_l3_u_full_current_iid,full,current_ne_previous,9976,0.9057532581538255,0.9057661875481824,0.9790242982870777,"[0.900050653880887, 0.9115648724822876]"
seed0_trained_l3_u_full_current_transfer,full,all,4979,0.9144026341337675,0.9172107930828861,0.9875241007825589,"[0.9063772573351426, 0.9222938963957753]"
seed0_trained_l3_u_full_current_transfer,full,current_ne_previous,2530,0.9097537910158191,0.9101325834375379,0.9790399530970979,"[0.8993582351119643, 0.9205317355996657]"
seed0_trained_l3_u_full_previous_iid,full,all,18617,0.8408964500946219,0.8411656036111831,0.9204960498294567,"[0.8347938592885896, 0.846920170324731]"
seed0_trained_l3_u_full_previous_iid,full,current_ne_previous,9976,0.8269116431770899,0.8265261154898209,0.9152703150272196,"[0.8186694213992601, 0.8353266112720669]"
seed0_trained_l3_u_full_previous_transfer,full,all,4644,0.5008285004142502,0.32625396859796074,0.8914146180167261,"[0.5002034939992257, 0.501687888706161]"
seed0_trained_l3_u_full_previous_transfer,full,current_ne_previous,2530,0.5004009623095429,0.3373700123765706,0.8802300892367715,"[0.5, 0.501234593324791]"
