seed,boundary,update,tokens,general_accuracy,general_ce,first_macro_ce,first_macro_accuracy
2,1000000,136,1002099,0.6150263512685378,0.6589255516257176,0.699662222305224,0.5438988095238095
2,3000000,407,3004531,0.6900355435715161,0.5539189559615963,0.7394039481663467,0.5375744047619048
2,8000000,1082,8001583,0.9252359357764431,0.14921530315330153,0.46851182656581886,0.7496279761904762
2,16000000,2160,16001083,0.9909302610614046,0.022538878447958374,0.05268968083623263,0.9773065476190477
2,24000000,3205,24000612,0.9969358990072312,0.009457422379388243,0.023358247677186854,0.9910714285714286
2,32000000,4249,32004917,0.998038975364628,0.004864278707880744,0.012486095324580523,0.9947916666666666
2,48000000,6325,48007049,0.9982841034440495,0.004691072985603424,0.01117832089623065,0.9966517857142857
2,57600000,7568,57606693,0.9981615394043387,0.004693939336967528,0.007118591698010218,0.9973958333333334
2,60800000,7983,60801363,0.999509743841157,0.0012839415030478378,0.005332075554397943,0.9985119047619048
2,64000000,8399,64005751,0.999509743841157,0.0009560082221911743,0.0015634727884867331,0.9996279761904762
