run,best_update,val_mse,updates,draws,train_seconds,validation_seconds,seconds_per_update_100,peak_vram_bytes
seed0_l0_sae_k4_s0,5000,0.001209982988695753,5000,2560000,21.78690009599768,0.4758173400002761,0.010497856369981946,141147648
seed0_l0_sae_k16_s0,5000,0.0003389744847994158,5000,2560000,22.32439551999778,0.49977763199990477,0.004369126140011304,141147648
seed0_l3_sae_k4_s0,5000,0.040717172105593724,5000,2560000,21.871935016995167,0.4644748510002046,0.004257572720018743,141147648
seed0_l3_sae_k16_s0,5000,0.005038858636696252,5000,2560000,21.975635371993803,0.5346485620004842,0.003968071900017094,141147648
seed0_l7_sae_k4_s0,5000,0.03650430299265827,5000,2560000,20.638671304998752,0.47112099999981183,0.00427034896999885,141147648
seed0_l7_sae_k16_s0,5000,0.008420622686412391,5000,2560000,21.735254402003648,0.5090346190002037,0.005018753760009531,141147648
seed0_l11_sae_k4_s0,5000,0.03004508632392866,5000,2560000,22.084523260994047,0.5196112980001999,0.003980259589986872,141147648
seed0_l11_sae_k16_s0,5000,0.006593827622580496,5000,2560000,21.915961744999322,0.506775868999739,0.004346752080004989,141147648
seed1_l0_sae_k4_s0,5000,0.005982104009150249,5000,2560000,20.86253378499714,0.4628235669999867,0.00393194221001977,141147648
seed1_l0_sae_k16_s0,4750,0.0003652986407737292,5000,2560000,21.431005302998074,0.4852206240000214,0.0056638004700062085,141147648
seed1_l3_sae_k4_s0,5000,0.05063658854087249,5000,2560000,21.826467078999485,0.5124585869998555,0.004709223870011101,141147648
seed1_l3_sae_k16_s0,5000,0.008835966599463185,5000,2560000,21.659473226002774,0.5081280269994295,0.003841337239996392,141147648
seed1_l7_sae_k4_s0,5000,0.03874965423323533,5000,2560000,21.1276485480048,0.46831952199954685,0.004074729079995905,141147648
seed1_l7_sae_k16_s0,5000,0.008132823294960132,5000,2560000,21.118061751004916,0.48532053299959443,0.0050567607700008925,141147648
seed1_l11_sae_k4_s0,5000,0.03999410475381431,5000,2560000,21.34892165100746,0.47669200100040143,0.004035485589988639,141147648
seed1_l11_sae_k16_s0,5000,0.009369296022314153,5000,2560000,21.594350867001822,0.5171269310001207,0.004326624709997304,141147648
seed2_l0_sae_k4_s0,5000,0.0018797662181062535,5000,2560000,20.71056878399486,0.46095630799982246,0.0037811445399984225,141147648
seed2_l0_sae_k16_s0,5000,0.0003915082445073239,5000,2560000,21.106420095991098,0.49851014400019267,0.005108644280001045,141147648
seed2_l3_sae_k4_s0,5000,0.03861051312004668,5000,2560000,21.66538061799656,0.4910773520002749,0.003815740199993343,141147648
seed2_l3_sae_k16_s0,5000,0.0052555338354754195,5000,2560000,21.531293551000317,0.5047033439998359,0.003828684290003821,141147648
seed2_l7_sae_k4_s0,5000,0.03984563513833104,5000,2560000,20.88709212200274,0.47595238700000664,0.0038075906300036877,141147648
seed2_l7_sae_k16_s0,5000,0.011626012086631781,5000,2560000,21.777310584992165,0.4764227120003852,0.005355452279991369,141147648
seed2_l11_sae_k4_s0,5000,0.030697030257387535,5000,2560000,21.361258075005026,0.47312673900023583,0.003988138040001559,141147648
seed2_l11_sae_k16_s0,4750,0.007640413315426415,5000,2560000,21.599255930003892,0.4889214630002243,0.003921763369985456,141147648
