seed,boundary,update,tokens,general_accuracy,general_ce,first_macro_ce,first_macro_accuracy
1,1000000,136,1002099,0.5781345753156024,0.6836674121653775,0.6882059697970926,0.5658482142857143
1,3000000,407,3004531,0.6886873391346979,0.5483313914568085,0.7042808882903219,0.5539434523809523
1,8000000,1082,8001583,0.9609020713322711,0.08971152455184303,0.2689748828424854,0.8776041666666666
1,16000000,2160,16001083,0.9905625689422723,0.021941807337122518,0.05188105377229,0.9828869047619048
1,24000000,3205,24000612,0.9966907709278098,0.009148323197092719,0.032136097526997025,0.9895833333333334
1,32000000,4249,32004917,0.9979164113249173,0.0063890193446044284,0.020253083492586182,0.9921875
1,48000000,6325,48007049,0.9976712832454958,0.005529622106054551,0.013481696047147721,0.9955357142857143
1,57600000,7568,57606693,0.9993871798014462,0.0026866130313189965,0.010797563847612239,0.9944196428571429
1,60800000,7983,60801363,0.9996323078808678,0.0013852663983912887,0.003783664569093657,0.9985119047619048
1,64000000,8399,64005751,0.9996323078808678,0.0011521270975583598,0.004900148220357892,0.9966517857142857
