update,tokens,current_ce,best_ce,general_accuracy,other_variable,repeated_update,first_read_after_set
14,103384,1.6468574809497025,1.6468574809497025,0.22555378778607268,0.265625,0.205078125,0.3515625
27,200288,1.5438662569287387,1.5438662569287387,0.3281116142455024,0.345703125,0.3125,0.40625
41,304028,1.25964847263603,1.25964847263603,0.4213682535797332,0.45703125,0.435546875,0.478515625
54,400763,0.952352720205064,0.952352720205064,0.4967568229102925,0.529296875,0.55078125,0.525390625
68,503627,0.9389535892171677,0.9389535892171677,0.5185411822298372,0.56640625,0.54296875,0.525390625
82,606465,0.8772171077493676,0.8772171077493676,0.49369722188226656,0.533203125,0.5546875,0.52734375
95,701157,0.8444581138447206,0.8444581138447206,0.543507526618529,0.537109375,0.47265625,0.537109375
109,803556,0.7866128656683551,0.7866128656683551,0.5067923142822176,0.466796875,0.451171875,0.46875
123,905597,0.752181399672432,0.752181399672432,0.5168278056541427,0.544921875,0.556640625,0.560546875
136,1002099,0.7318131330401059,0.7318131330401059,0.5034879451719496,0.544921875,0.546875,0.544921875
150,1105935,0.7239714545349263,0.7239714545349263,0.5067923142822176,0.466796875,0.451171875,0.46875
163,1201893,0.7127129020619138,0.7127129020619138,0.5067923142822176,0.466796875,0.451171875,0.46875
177,1304455,0.7071863145945545,0.7071863145945545,0.5508505690857912,0.564453125,0.548828125,0.5234375
190,1401250,0.703178501562453,0.703178501562453,0.5421613021661975,0.517578125,0.474609375,0.486328125
204,1504452,0.7017531834461598,0.7017531834461598,0.5103414514747276,0.548828125,0.544921875,0.55859375
218,1607141,0.6987795976906187,0.6987795976906187,0.5588055317586587,0.609375,0.5390625,0.546875
231,1701794,0.6967614312721078,0.6967614312721078,0.5529310977848488,0.54296875,0.478515625,0.505859375
245,1805685,0.6958840468597739,0.6958840468597739,0.5458328233998286,0.564453125,0.560546875,0.54296875
258,1902396,0.6941539152659747,0.6941539152659747,0.5602741402521111,0.595703125,0.546875,0.55859375
272,2006023,0.6918504821847139,0.6918504821847139,0.5688410231305838,0.580078125,0.552734375,0.54296875
285,2103210,0.6910600791273933,0.6910600791273933,0.5692081752539468,0.603515625,0.5625,0.533203125
299,2206975,0.6903960530679997,0.6903960530679997,0.5556235466895116,0.583984375,0.541015625,0.54296875
312,2301487,0.6871856398184754,0.6871856398184754,0.5747154571043935,0.619140625,0.541015625,0.529296875
326,2404490,0.685623256780281,0.685623256780281,0.569452943336189,0.58203125,0.556640625,0.533203125
340,2507110,0.6828860601389981,0.6828860601389981,0.579243666625872,0.625,0.556640625,0.544921875
353,2605247,0.681076928336739,0.681076928336739,0.57899889854363,0.6171875,0.53125,0.552734375
366,2702124,0.6787548265241523,0.6787548265241523,0.5783869783380248,0.603515625,0.572265625,0.552734375
380,2806794,0.6762953315173204,0.6762953315173204,0.5864643250520132,0.607421875,0.5078125,0.544921875
393,2902836,0.6711365153584249,0.6711365153584249,0.592338759025823,0.640625,0.595703125,0.548828125
407,3004531,0.670175095441773,0.670175095441773,0.589034389915555,0.58984375,0.599609375,0.5546875
420,3101771,0.6644522977924276,0.6644522977924276,0.5980908089585119,0.609375,0.58203125,0.54296875
